Legislação,Número,Link Ficha,Modalidade,Tipo,Objeto,Data Abertura,Data Publicação,Município,Órgão,Situação,Valor Referência (R$),Valor Adjudicado (R$)
Lei n° 14.133/2021,6.2026-0014,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333695,"INEXIGIBILIDADE, ART. 74, INCISO III, “B”",NÃO SE APLICA,"CONTRATACÃO DE SERVICO MÉDICO ESPECIALISTA EM CARDIOLOGIA, OBJETIVANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DO MUNICÍPIO DE SANTA BÁRBARA DO PARÁ/PA",22/06/2026,21/07/2026,SANTA BARBARA DO PARA,FUNDO MUNICIPAL DE SAUDE,REALIZADA,"56.000,00","56.000,00"
Lei n° 14.133/2021,9.2026-00034,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334288,PREGÃO ELETRÔNICO,MENOR PREÇO,"SISTEMA DE REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA LOCAÇÃO DE VEÍCULOS E EQUIPAMENTOS, SEM OPERADOR, COM MANUTENÇÃO PREVENTIVA E CORRETIVA POR CONTA DA CONTRATADA, VISANDO ATENDER ÀS DEMANDAS CONTÍNUAS, ROTINEIRAS E EMERGENCIAIS DA SECRETARIA MUNICIPAL DE SANEAMENTO, URBANISMO E INFRAESTRUTURA – SEURBI DO MUNICÍPIO DE ÓBIDOS/PA, CONFORME ESPECIFICAÇÕES CONSTANTES NO TERMO DE REFERÊNCIA.",04/08/2026,21/07/2026,OBIDOS,PREFEITURA MUNICIPAL DE OBIDOS,PUBLICADA,"853.788,00","0,00"
Lei n° 14.133/2021,6-2026-007-INEX,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334291,"INEXIGIBILIDADE, ART. 74, INCISO III, “B”",NÃO SE APLICA,"PRESTAÇÃO DE SERVIÇOS PROFISSIONAIS DE ASSESSORIA E CONSULTORIA JURIDICA E ADMINISTRATIVA ESPECIALIZADA NA ÁREA DO DIREITO PUBLICO, PARA ATENDER A PREFEITURA MUNICIPAL DE SALINOPOLIS E SUAS SECRETARIAS.",27/05/2026,21/07/2026,SALINOPOLIS,PREFEITURA MUNICIPAL DE SALINOPOLIS,REALIZADA,"540.000,00","540.000,00"
Lei n° 14.133/2021,017/2026-INEX/SEMAD,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334312,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS EM CONSULTORIA E ASSESSORIA E JURÍDICA, VISANDO À CAPACITAÇÃO, TREINAMENTO, IMPLANTAÇÃO, REGULAMENTAÇÃO DOS PROCEDIMENTOS ADMINISTRATIVOS DO MUNICÍPIO DE MARITUBA A LEI 14.133/2021, COMPREENDENDO A ESTRUTURAÇÃO DOS PROCESSOS DE LICITAÇÕES E CONTRATOS ADMINISTRATIVOS, TREINAMENTO OPERACIONAL DOS SERVIDORES E SUPORTE TÉCNICO PARA IMPLEMENTAÇÃO DAS BOAS PRÁTICAS DE GOVERNANÇA DAS CONTRATAÇÕES PÚBLICAS.",10/03/2026,21/07/2026,MARITUBA,PREFEITURA MUNICIPAL DE MARITUBA,REALIZADA,"49.500,00","49.500,00"
Lei n° 11.947/2009,002/2026-SEMED/PMLA,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4328393,CHAMAMENTO PÚBLICO (LEI Nº 11.947/2009),NÃO SE APLICA,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DIRETAMENTE DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL,  DESTINADO AO ATENDIMENTO DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR- PNAE, NO MUNICÍPIO DE LIMOEIRO DO AJURU",22/07/2026,21/07/2026,LIMOEIRO DO AJURU,FUNDO MUNICIPAL DE EDUCAÇÃO,PUBLICADA,"3.106.308,75","0,00"
Lei n° 14.133/2021,9/2026-00049 - SRP,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333545,PREGÃO ELETRÔNICO,MENOR PREÇO,"“AQUISIÇÃO DE ARTEFATOS DE CONCRETO ARMADO, PRÉ-MOLDADOS, COMPREENDENDO TUBOS, ADUELAS/GALERIAS, BARREIRAS DE CONCRETO PERFIL NEW JERSEY E TAMPAS CIRCULARES, DESTINADOS A ATENDER ÀS DEMANDAS DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA – SEMINFRA, NA IMPLANTAÇÃO, RECUPERAÇÃO E MANUTENÇÃO DE OBRAS DE INFRAESTRUTURA URBANA DESTINADAS À EXECUÇÃO, MANUTENÇÃO E AMPLIAÇÃO DE SISTEMAS DE DRENAGEM PLUVIAL E ESGOTAMENTO SANITÁRIO NO MUNICÍPIO DE PARAGOMINAS/PA.”",05/08/2026,21/07/2026,PARAGOMINAS,PREFEITURA MUNICIPAL DE PARAGOMINAS,PUBLICADA,"9.864.970,00","0,00"
Lei n° 14.133/2021,032/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333876,"DISPENSA, ART. 75, INCISOS VIII",MENOR PREÇO,"AQUISIÇÃO DE MEDICAMENTOS, EM CUMPRIMENTO AO PROCESSO JUDICIAL Nº 0826821-40.2025.8.14.0301 EM FAVOR DO PACIENTE MARCOS LOPES COSTA",28/05/2025,21/07/2026,BELEM,FUNDO MUNICIPAL DE SAUDE,REALIZADA,"2.047,20","2.047,20"
Lei n° 14.133/2021,PE SRP 026/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334237,PREGÃO ELETRÔNICO,MENOR PREÇO,"FORNECIMENTO DE COMBUSTÍVEIS, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DE MEDICILÂNDIA.",31/07/2026,21/07/2026,MEDICILANDIA,SEC. MUN. DE SAUDE/FUNDO DE SAUDE,PUBLICADA,"0,00","0,00"
Lei n° 14.133/2021,A.23026-003PMSJP,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4331625,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO, SOB DEMANDA, DE SERVIÇOS DE  
MANUTENÇÃO E CONSERVAÇÃO DE PAVIMENTOS EM VIAS DO MUNICÍPIO DE SENADOR JOSÉ  
PORFÍRIO/PA",27/02/2026,21/07/2026,SENADOR JOSE PORFIRIO,PREFEITURA MUNICIPAL DE SENADOR JOSE PORFIRIO,REALIZADA,"14.106.756,25","14.106.756,25"
Lei n° 14.133/2021,PE 119.26.SMS,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333492,PREGÃO ELETRÔNICO,MENOR PREÇO,"REGISTRO DE PREÇOS PARA A EVENTUAL AQUISIÇÃO DE IMPLANTE CONTRACEPTIVO DE LONGA DURAÇÃO DE ETONOGESTREL (IMPLANON), DESTINADOS A ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DE MARABÁ.",03/08/2026,21/07/2026,MARABA,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"2.502.650,00","0,00"
